statistic,tavg,prcp,Q_1,Q_1007,Q_1005,Q_1006
BaseFlowIndex,0.0,-20.0,0.1145,0.251,0.5102,0.6031
BaseFlowIndex,0.0,-10.0,0.1168,0.2239,0.4748,0.5575
BaseFlowIndex,0.0,0.0,0.1169,0.1961,0.4378,0.5101
BaseFlowIndex,0.0,10.000000000000014,0.116,0.1692,0.4024,0.4656
BaseFlowIndex,0.0,20.0,0.1159,0.1427,0.3737,0.4289
BaseFlowIndex,1.0,-40.0,0.1114,0.3103,0.5486,0.6661
BaseFlowIndex,1.0,-30.0,0.112,0.2816,0.5331,0.6369
BaseFlowIndex,1.0,-20.0,0.1143,0.2522,0.5122,0.6046
BaseFlowIndex,1.0,-10.0,0.1165,0.2253,0.4773,0.5607
BaseFlowIndex,1.0,0.0,0.1164,0.1981,0.44,0.5132
BaseFlowIndex,1.0,10.000000000000014,0.1152,0.1716,0.4041,0.4681
BaseFlowIndex,1.0,20.0,0.1145,0.1448,0.3749,0.4308
BaseFlowIndex,2.0,-40.0,0.1113,0.311,0.5474,0.6655
BaseFlowIndex,2.0,-30.0,0.1117,0.2823,0.5348,0.6391
BaseFlowIndex,2.0,-20.0,0.1141,0.2538,0.5145,0.6064
BaseFlowIndex,2.0,-10.0,0.116,0.2267,0.4801,0.5642
BaseFlowIndex,2.0,0.0,0.1161,0.1999,0.4423,0.5161
BaseFlowIndex,2.0,10.000000000000014,0.1146,0.1738,0.406,0.4707
BaseFlowIndex,2.0,20.0,0.1133,0.1467,0.3761,0.4328
BaseFlowIndex,3.0,-40.0,0.1111,0.3117,0.5464,0.6649
BaseFlowIndex,3.0,-30.0,0.1114,0.283,0.5364,0.6409
BaseFlowIndex,3.0,-20.0,0.1139,0.255,0.5165,0.608
BaseFlowIndex,3.0,-10.0,0.1155,0.2281,0.4826,0.5676
BaseFlowIndex,3.0,0.0,0.1158,0.2016,0.4449,0.5192
BaseFlowIndex,3.0,10.000000000000014,0.114,0.1759,0.4084,0.4738
BaseFlowIndex,3.0,20.0,0.1122,0.1486,0.3774,0.4349
BaseFlowIndex,4.0,-40.0,0.1107,0.3125,0.5461,0.665
BaseFlowIndex,4.0,-30.0,0.1111,0.2838,0.5377,0.643
BaseFlowIndex,4.0,-20.0,0.1137,0.2562,0.517,0.6093
BaseFlowIndex,4.0,-10.0,0.1149,0.2299,0.4851,0.571
BaseFlowIndex,4.0,0.0,0.1154,0.2033,0.4474,0.5224
BaseFlowIndex,4.0,10.000000000000014,0.1134,0.1779,0.4108,0.4768
BaseFlowIndex,4.0,20.0,0.1112,0.1506,0.3789,0.4373
